Question,Reference,Mistral_Responce,Mistral_Hallucination_Score,GPT_Responce,GPT_Hallucination_Score,difference
what is ACRS?,"5.5.6 Students in the B. Tech. programme have an option of completing their course work 
requirements by VII semester through the Accelerated Course Registration System 
(ACRS) and devote the VIII semester to do project work in academic institutions or R&D 
centres or industries in India or in premier institutions abroad.  ACRS is meant for high 
and consistent performers who maintain a minimum CGPA and SGPA of 7.5.  Students 
with history of F or E grades are not eligible 
 
5.5.7 Students’ at the end of the V semester with the minimum CGPA of 7.5, may be permittedStudent ActivitiesASCIEEDakshKuruksastraPlasma CompendiumWadioBiotikosNCCNSSClubsED-CellIIChE Student ChapterASME Students ChapterIEEE SB SASTRAICT@S

Academic Flexibility





SASTRA is sensitive to the learning abilities of diverse students and provides adequate avenues to accommodate such diverse learning abilities.

The following opportunities are provided for advanced learners:

Accelerated Credit Registration System (ACRS): Students with CGPA ≥ 7.5 can register for an open elective course each semester commencing from 4th semester onwards so that the finalsProject  12 
HR Skills  04 
 
2.3 Accelerated Course R egistration System:  
 
SASTRA University provides unique opportunity to students for completing the course 
work within even semesters, thereby enabling them to utilize eighth semester solely for 
project work. Students without any history of arrears can study  open elective courses that 
are offered after regular class hours (after 5 pm.) from semesters IV to semesters VII, 
thereby satisfying the credit requirement for core, department electives and open electives 
within seven semesters.Student ActivitiesASCIEEDakshKuruksastraPlasma CompendiumWadioBiotikosNCCNSSClubsED-CellIIChE Student ChapterASME Students ChapterIEEE SB SASTRAICT@S

Central Animal Facility





CENTRAL ANIMAL FACILITY

(Accredited by NABL for Biological Testing, Approval No. T-3331)

SASTRA houses a full-fledged (CPCSEA Registration No: 817/04/ac/CPCSEA) state-of- the-art Central Animal Facility (CAF) of 16,358 sq.ft. for the conduct of pre-clinical studies. The major objectives of the facility are to

Ø  conduct high quality animal research","ACRS stands for Accelerated Credit Registration System. It is a system at SASTRA University that allows high-performing students with a minimum CGPA and SGPA of 7.5 to complete their course work requirements by the seventh semester. This enables them to utilize the eighth semester solely for project work, which they can do in academic institutions, R&D centers, industries in India or premier institutions abroad. Additionally, students with a CGPA of 7.5 or higher can register for an open elective course each semester, starting from the fourth semester onwards.",0.94965494,ACRS stands for Accelerated Course Registration System and is offered to students in the B. Tech. programme who maintain a minimum CGPA and SGPA of 7.5. It allows students to complete their course work requirements by VII semester to focus on project work in the VIII semester. Students with a history of F or E grades are not eligible for ACRS.,0.99777645,0.048121508726654105
what are areas of interest of muthubalan?,"Click here







Dr. UMA .D
Sr. Asst. Professor
umavijayeee.sastra.edu







School School of Electrical and Electronics Engineering
Designation SAP
Department EEE
Educational QualificationsM.E(POWER ELECTRONICS & DRIVES)Registered Ph.D in SASTRA University
Areas of InterestFACTS,power Quality
ORCID URL

Click here







Dr. BALASUBRAMANIAN .G
Sr. Asst. Professor
Balu_eieeie.sastra.eduClick here







Dr. KANNAN BALASUBRAMANIAN
Professor
kannanbcse.sastra.edu







School School of Computing
Designation Professor
Department CSE
Educational QualificationsM.Sc. (Tech.) (Birla Institute of Technology and Science,Pilani),  M.Tech (Indian Institute of Technology, Bombay), Ph.D (University of California, Los Angeles)
Areas of InterestCOMPUTER NETWORKS,NETWORK SECURITY,CYBER SECURITY,MACHINE LEARNING
ORCID URL

Click here







Dr. MANJULA KR
Associate Professor
manjulacse.sastra.eduClick here







Dr. BHASKARAN S
Asst. Professor - II
bhaskaranmca.sastra.edu







School School of Computing
Designation AP - II
Department MCA
Educational QualificationsM.C.A., M.Phil(CS), M.Tech(IT), Ph.D
Areas of InterestSoft Computing, Artificial Intelligence, E-Learning
ORCID URL

Click here







Mr. VENKATA SUBRAMANIAN N
Asst. Professor - II
tyrvenkatmca.sastra.edu







School School of Computing
Designation AP - II
Department MCA
Educational QualificationsMCA, Ph.D (Pursuing)
Areas of InterestCloud Computing
ORCID URL

Click hereClick here







Dr. BALASUBRAMANIAN .R
Sr. Asst. Professor
rbalueee.sastra.edu







School School of Electrical and Electronics Engineering
Designation SAP
Department EEE
Educational QualificationsB.E(Electrical and Electronics Engineering)University of Madras,M.Tech (Control systems and instrumentation) SASTRA Deemed UniversityPhD (Power quality improvement) SASTRA Deemed University
Areas of InterestPower Quality improvement, Control systems, Power Electronics
ORCID URL

Click here







Dr. SRIRANJANI .R
Sr. Asst. Professor
mathusrieee.sastra.edu","The context provided does not include information about a person named Muthubalan. Therefore, I'm unable to answer the question about Muthubalan's areas of interest.",0.5203133,Areas of interest of Muthubalan include FACTS and power quality.,0.6980358,0.17772247661514284
what is the designation of john bosco?,"Faculty Key List
School of Electrical and Electronics Engineering









Dr. JOHN BOSCO BALAGURU .R
Dean Sponsored Research
rjboscoece.sastra.eduSchool School of Electrical and Electronics Engineering
Designation Associate Professor
Department PhysicsSchool School of Electrical and Electronics Engineering
Designation AP - Research
Department Physics
Educational QualificationsPost Doctoral ResearchS.N. Bose National Centre for Basic Sciences, Kolkatta India.Ph.D.(Physics)Bharathidasan University, Tiruchirappalli, Tamilnadu IndiaM.Sc.(Physics)Bharathidasan University, Tiruchirappalli, Tamilnadu IndiaB.Sc(Physics)St.John's College, Tirunelveli, India.
Areas of InterestMagnetization Switching DynamicsSpin Torque Nano-OscillatorsSpin Waves in Magnonic CrystalsDomain Wall Dynamics
ORCID URL

Click hereClick here







Dr. JOY CHRISTY A
Asst. Professor - II
joychristycse.sastra.edu







School School of Computing
Designation AP - II
Department CSE
Educational QualificationsPh.D.,
Areas of InterestData Mining, Software Metrics, Web Services, Big Data
ORCID URL

Click here







Dr. IFJAZ AHMED M
Asst. Professor - II
ifjazahmedit.sastra.edu







School School of Computing
Designation AP - II
Department IT
Educational QualificationsMCA., Ph.D., 
Areas of InterestDigital Image ProcessingSteganography
ORCID URL

Click here",Dr. John Bosco Balaguru R's designation is Associate Professor.,0.9960508,Associate Professor,0.99667585,0.0006250489608764509
what are the progams offered in B.Tech by sastra?,"What full-time programmes does SASTRA offer? 

	
	THANJAVUR CAMPUS

	B. Tech., (with various minor specializations), M. Tech. (5-Year integrated), M. Tech., M. Sc. (2-Year programmes in Biotechnology, Chemistry, Data Sciences, Bioinformatics & Physics), M.C.A., M.B.A., B. Com. (CA), B. Com. (BFSI), B.A./B.Com./B.B.A., LL.B, (Hons.), B.Sc./B.A., B.Ed. (4-year integrated programmes in English, Mathematics & Physics), M.Sc. (5-year integrated programmes in Biotechnology, Chemistry, Data Sciences & Physics), M. Optom. & B. Optom. courses are offered.

	KUMBAKONAM CAMPUSStudent ActivitiesASCIEEDakshKuruksastraPlasma CompendiumWadioBiotikosNCCNSSClubsED-CellIIChE Student ChapterASME Students ChapterIEEE SB SASTRAICT@S

Programmes





B.Tech. Aerospace Engineering

B.Tech. Bioengineering

B.Tech. Bioinformatics

B.Tech. Biotechnology

B.Tech. Chemical Engineering

B.Tech. Civil Engineering

B.Tech. Computer Science & Business Systems

B.Tech. Computer Science & Engineering

B.Tech. Computer Science & Engineering (Artificial Intelligence & Data Science)

B.Tech. Computer Science & Engineering (Cyber Security & Block Chain Technology)Is there any other method for admission to B.Tech. programmes?
	
	Admissions will be done by the Office of Admissions of SASTRA, either in Stream 1 or 2 basis.  Do not fall prey to any unauthorized persons / agencies who claim proximity to SASTRA admissions office. Admissions are based only on merit and only tuition fees will have to be paid. No donations or capitation fee.  Kindly bring it to the notice of the Office of Admissions if any unauthorized persons / agency approaches you promising admissions.UG Programmes

The SASTRA Chennai campus offers 4-Year Honours with an exit option at the end of the 3rd year. The following are the programmes to be offered from the academic year 2024-25:

Bachelor of Arts Economics & Public Policy

Bachelor of Arts Journalism & Electronic Media

Bachelor of Arts Journalism & Visual Communications

Bachelor of Commerce (B.Com.) with Minor Specialisations in the area of Business Process, Financial Markets , Corporate Finance & Strategy, Economics & Public Policy","SASTRA offers the following B.Tech. programs at their Thanjavur and Kumbakonam campuses:

1. Aerospace Engineering
2. Bioengineering
3. Bioinformatics
4. Biotechnology
5. Chemical Engineering
6. Civil Engineering
7. Computer Science & Business Systems
8. Computer Science & Engineering
9. Computer Science & Engineering (Artificial Intelligence & Data Science)
10. Computer Science & Engineering (Cyber Security & Block Chain Technology)

Please note that the Kumbakonam campus offers the aforementioned B.Tech. programs. You can find these programs listed in the context you provided under the ""Programmes"" section for the Kumbakonam campus.",0.82726014,"The B.Tech. programs offered by SASTRA include Aerospace Engineering, Bioengineering, Bioinformatics, Biotechnology, Chemical Engineering, Civil Engineering, Computer Science & Business Systems, Computer Science & Engineering, Computer Science & Engineering with specializations in Artificial Intelligence & Data Science and Cyber Security & Block Chain Technology. Admissions to these programs are done by the Office of Admissions of SASTRA based on merit, with no donations or capitation fees required. The Chennai campus also offers 4-Year Honours programs with an exit option at the end of the 3rd year.",0.8280914,0.000831242980346647
what is the admission process to get seat in B.Tech in sastra?,"How are admissions done? 
	
	The Admissions to various B. Tech. and 5-Year Integrated M. Tech. programmes of SASTRA (Thanjavur & Kumbakonam) shall be done in the following way:

	Stream 1 – JEE-Main Score & Class XII Score: Admission to 50% of seats shall be based on normalised aggregate Class XII Scores and available JEE Main (2024) scores taken together with 50% weightage each.  Seats shall be filled based on the Ranks Secured by student.Is there any other method for admission to B.Tech. programmes?
	
	Admissions will be done by the Office of Admissions of SASTRA, either in Stream 1 or 2 basis.  Do not fall prey to any unauthorized persons / agencies who claim proximity to SASTRA admissions office. Admissions are based only on merit and only tuition fees will have to be paid. No donations or capitation fee.  Kindly bring it to the notice of the Office of Admissions if any unauthorized persons / agency approaches you promising admissions.What is the eligibility?
	
	B.Tech. (with minor specialization) / 5 Year Integrated M. Tech. Programme

	A pass in the +2 examination with Mathematics & Physics as compulsory subjects of study with either Chemistry / Biotechnology / Computer Science / Biology and recognized by any State Board / Central Board or any other Board accepted by SASTRA as equivalent to 10+2 examination, with a minimum +2 aggregate of 60% marks in a single sitting.2.1 Candidates for admission to the first semester of B.Tech. / M.Tech. (Integrated) degree 
programmes should have passed the final examination of +2 Higher Secondary Course 
in the academic stream (with Mathematics, Physics and Chemistry as subjects of study) 
or vocational stream (with Mathematics as one of the subjects of study) conducted by 
the Board of Secondary Education, Government of Tamil Nadu or an Examination of any 
other authority accepted by the Board of Management of SASTRA as equivalent thereto .","The admission to B.Tech. programs at SASTRA is done through the Office of Admissions of SASTRA, either in Stream 1 or 2. In Stream 1, 50% of the seats are filled based on the normalised aggregate Class XII scores and available JEE Main (2024) scores, with each having 50% weightage. The seats are filled based on the ranks secured by the students.

To be eligible for admission, a candidate should have passed the +2 examination with Mathematics & Physics as compulsory subjects and either Chemistry / Biotechnology / Computer Science / Biology with a minimum +2 aggregate of 60% marks in a single sitting. Additionally, candidates should have passed the final examination of +2 Higher Secondary Course in the academic stream with Mathematics, Physics and Chemistry as subjects of study or vocational stream with Mathematics as one of the subjects of study.",0.87422734,"To get admission to B.Tech. programs in SASTRA, you can apply through two streams - one based on JEE-Main Score & Class XII Score and the other through the Office of Admissions. Eligibility requires a pass in the +2 examination with Mathematics & Physics as compulsory subjects and a minimum aggregate of 60% marks. Admissions are based on merit only, and no donations or capitation fees are required.",0.91442144,0.04019409917083738
what are facilities available in sastra hostel?,"SASTRA has always believed in catering to the palate and providing wholesome and balanced nutrition in a hygienic environment. A completely balanced vegetarian diet is served in all hostels equipped with steam-cooking facilities. There is also North Indian Cuisine in addition to the South Indian culinary delights.

1Gbps Wi-Fi is available to all the inmates of the hostels.

A well furnished guest house with adquate number of A/C and non-A/C rooms is available for visitors on prior request and subject to availability.

General InformationAbout the Guest House 
	
		Welcome to SASTRA Paradise Guest house. Situated diagonally opposite to our campus, this fully renovated Guest house is most comfortable with 28 rooms, 6 of those being NON- AC and rest fully air conditioned rooms. 
		The rooms are provided with necessary furniture to work and required modern amenities. 
		Smart TV is also provided with required Wi-Fi facilities.
		Hot and cold water in the bath rooms, comfortable and cozy beds with supporting furnishing makes the stay very pleasurable.Student ActivitiesASCIEEDakshKuruksastraPlasma CompendiumWadioBiotikosNCCNSSClubsED-CellIIChE Student ChapterASME Students ChapterIEEE SB SASTRAICT@S

Central Facilities





Major facilities established in the University are available for all students & faculty from SASTRA as well as from other institutions.  The following are  partial list of equipment  available on campus for research:

Field emission transmission electron microscope with energy dispersive spectrometer (FE-TEM)

Computer Numerically Controlled turning centres and machining centres (production capacity machines)Student ActivitiesASCIEEDakshKuruksastraPlasma CompendiumWadioBiotikosNCCNSSClubsED-CellIIChE Student ChapterASME Students ChapterIEEE SB SASTRAICT@S

Hostel





There are 9 boys' hostel and 6 girls' hostels providing accommodation to over 4000 boys and 2400 girls.

The hostels are of the following types:

1. Single Room / 2-in-1 / 4-in1 (Bath Attached).

2. Single Room / 2-in-1 / 3-in-1 / 4-in-1 / 5-in-1 / 6-in-1

The fees Structure is given below :

Click here","The facilities available in SASTRA hostels include:

* Steam-cooking facilities for providing balanced vegetarian meals
* Both South Indian and North Indian cuisine
* Wi-Fi with 1Gbps speed
* Single, 2-in-1, 3-in-1, 4-in-1, 5-in-1, and 6-in-1 room options
* Bath attached rooms are also available

Note that the hostels can accommodate over 4000 boys and 2400 girls.",0.98483676,"Sastra hostel provides a completely balanced vegetarian diet with steam-cooking facilities. There is also North Indian Cuisine available. The hostels have 1Gbps Wi-Fi, well-furnished guest rooms, and hot and cold water in the bathrooms.",0.9893441,0.004507360025634788
"what are the prices of single, double, 4 in 1 rooms in hostel?","Is hostel facility available?
	
	There are separate hostels for boys and girls in Thanjavur campus.  First year students will be provided shared accommodation.  The charges for food will be at actual based on dividing system and will approximately be around Rs 4,000 per month.  You can assume that you will stay for 10 months in a calendar year.

	Single room, Two-in-one, Three- in-one and Four-in-one (with or w/o bath attached facilities) will be available from second year onwards.

	Hostel fees is available at Click hereStudent ActivitiesASCIEEDakshKuruksastraPlasma CompendiumWadioBiotikosNCCNSSClubsED-CellIIChE Student ChapterASME Students ChapterIEEE SB SASTRAICT@S

Hostel





There are 9 boys' hostel and 6 girls' hostels providing accommodation to over 4000 boys and 2400 girls.

The hostels are of the following types:

1. Single Room / 2-in-1 / 4-in1 (Bath Attached).

2. Single Room / 2-in-1 / 3-in-1 / 4-in-1 / 5-in-1 / 6-in-1

The fees Structure is given below :

Click hereHostel fees is available at Click here

	Private accommodation available in Kumbakonam & Chennai campuses.Tariff 
	
	
		
		Guest House
		
		CATEGORY
		ROOM RENT (Excluding Breakfast)
		REMARKS
		
		
		A/c
		1000 ( One person )
		For one extra person Rs.250 to be paid additionally
		
		
		Non-A/c
		700 ( One person )
		For one extra person Rs.250 to be paid additionally
		
		
	
		 
		NOTE:
		
		Room categories are subject to availability.
		The room rent is Exclusive of GST 12%.
		100% Payment to be made in advance. 
		Advance payment will not be refunded in case of cancellation.
		24 Hours check in / checkout.
		Room tariff subject to change without prior notice.","Based on the provided context, the hostel has different types of rooms available. Here are the prices for some of them:

* Single Room (without bath attached): This information is not provided in the context.
* 2-in-1 (also known as double room, with bath attached): The context does not provide specific pricing for this type of room, but it is included in the list of available options.
* 4-in-1 (with bath attached): The cost for this type of room is not explicitly provided in the context, but it is mentioned that the fees structure is available at a specific URL.

Additionally, the context provides information about other types of rooms, such as 3-in-1, 5-in-1, and 6-in-1, but it does not provide pricing details for those rooms.

Therefore, I cannot provide a direct answer to your question as the context does not provide specific pricing information for single, double, and 4-in-1 rooms. However, I have summarized the available information that might help you to get an idea about the room prices.",0.553227,"The prices of single, double, and 4-in-1 rooms in the hostel are not provided in the retrieved context.",0.02125593,-0.5319710691143275
How to calculate CGPA?,"9.5 Calculation of Cumulative Grade Point Average (CGPA)  
 
CGPA is calculated from SGPA of the current and previous semesters.  Hence, it is an 
indicator of the performance of a student over the period of study.  CGPA is calculated 
as follows: 
 
Let ‘(SGPA) i‘ be the SGPA of a student in ith semester, 
Let ‘N i’ be the number of credits taken by the student in ith semester, 
Let ‘k’ be the number of semesters that a student has undergone, 
 
𝐶𝐺𝑃𝐴= ∑(𝑆𝐺𝑃𝐴)௜𝑁௜௞
௜ୀଵ
∑𝑁௜௞
௜ୀଵ=𝑆𝐺𝑃𝐴ଵ𝑁ଵ+𝑆𝐺𝑃𝐴ଶ𝑁ଶ+ ……….+ 𝑆𝐺𝑃𝐴௞𝑁௞
𝑁ଵ+ ……….+ 𝑁௞ 
 
10. CLASSIFICATION OF RESULT9.4 The average performance of a student in a particular semester is expressed as 
Semester Grade Point Average (SGPA). It is calculated for each semester as follows: 
 
Let `C i’ be the credit assigned to the ith course,  
Let `P i’ be the grade point secured in the ith course, 
Let `n’ be the number of courses for which the student has registered for the 
examinations, 
 
𝑆𝐺𝑃𝐴= ∑𝐶௜௡
௜ୀଵ𝑃௜
∑𝐶௜௡
௜ୀଵ=𝐶ଵ𝑃ଵ+𝐶ଶ𝑃ଶ+⋯…………………..+ 𝐶௡𝑃௡
𝐶ଵ+𝐶ଶ+⋯…………………..+ 𝐶௡௜ୀଵ
∑𝑁௜௞
௜ୀଵ=𝑆𝐺𝑃𝐴ଵ𝑁ଵ+𝑆𝐺𝑃𝐴ଶ𝑁ଶ+ ……….+ 𝑆𝐺𝑃𝐴௞𝑁௞
𝑁ଵ+ ……….+ 𝑁௞ 
 
10. CLASSIFICATION OF RESULT  
 
10.1 Students admitted to the B. Tech. programme, securing a CGPA of 7.5 and above shall 
be deemed to have passed in first class with distinction provided all the courses are 
passed in the first attempt in the end semester examinations within the stipulated 8 
semesters or 6 semesters for lateral entry students 
 
10.2 Students admitted to the M.Tech. (Integrated) programme, securing a CGPA of 7.5 and 
above shall be deemed to have passed in first class with distinction provided all thecredited course with a weightage of 50 marks 
 
6.4 A letter grade, corresponding to the marks secured by the student is awarded for each 
course for which a student has registered. On obtaining a pass grade, the student 
accumulates the course credits as earned credits. A student’s performance is measured 
by the number of credits that the student has earned and the weighted grade point","To calculate the Cumulative Grade Point Average (CGPA), you can follow the formula provided in the context:

CGPA = (SGPA1 \* Ni + SGPA2 \* N2 + ... + SGPAk \* Nk) / (N1 + N2 + ... + Nk)

Where:

* SGPAi is the Semester Grade Point Average of the ith semester
* Ni is the number of credits taken by the student in the ith semester
* k is the number of semesters that the student has undergone

The SGPA is calculated as the sum of (Ci \* Pi) for all courses in the semester, divided by the sum of Ci for all courses in the semester.

Ci is the credit assigned to the ith course, and Pi is the grade point secured in the ith course.

So, to calculate the CGPA, you need to first calculate the SGPA for each semester, then use the formula above to combine them.",0.7044091,"To calculate CGPA, you need to sum the product of SGPA and the number of credits for each semester, then divide by the total number of credits. The formula is Σ(SGPA)i * Ni / ΣNi. CGPA is an indicator of a student's overall performance throughout their study period.",0.68609554,-0.01831356424484254
how to calculate SGPA?,"9.4 The average performance of a student in a particular semester is expressed as 
Semester Grade Point Average (SGPA). It is calculated for each semester as follows: 
 
Let `C i’ be the credit assigned to the ith course,  
Let `P i’ be the grade point secured in the ith course, 
Let `n’ be the number of courses for which the student has registered for the 
examinations, 
 
𝑆𝐺𝑃𝐴= ∑𝐶௜௡
௜ୀଵ𝑃௜
∑𝐶௜௡
௜ୀଵ=𝐶ଵ𝑃ଵ+𝐶ଶ𝑃ଶ+⋯…………………..+ 𝐶௡𝑃௡
𝐶ଵ+𝐶ଶ+⋯…………………..+ 𝐶௡9.5 Calculation of Cumulative Grade Point Average (CGPA)  
 
CGPA is calculated from SGPA of the current and previous semesters.  Hence, it is an 
indicator of the performance of a student over the period of study.  CGPA is calculated 
as follows: 
 
Let ‘(SGPA) i‘ be the SGPA of a student in ith semester, 
Let ‘N i’ be the number of credits taken by the student in ith semester, 
Let ‘k’ be the number of semesters that a student has undergone, 
 
𝐶𝐺𝑃𝐴= ∑(𝑆𝐺𝑃𝐴)௜𝑁௜௞
௜ୀଵ
∑𝑁௜௞
௜ୀଵ=𝑆𝐺𝑃𝐴ଵ𝑁ଵ+𝑆𝐺𝑃𝐴ଶ𝑁ଶ+ ……….+ 𝑆𝐺𝑃𝐴௞𝑁௞
𝑁ଵ+ ……….+ 𝑁௞ 
 
10. CLASSIFICATION OF RESULTattendance of a student will be the number of periods attended divided by the total 
number of periods actually conducted from the date of his/her admission and multiplied 
by 100Honours courses: Students with CGPA ≥ 7.5 are permitted to enrol for additional courses in their discipline offered by SASTRA or online platforms like Coursera, SWAYAM etc., on a self-study mode.

Fellowships: Students are encouraged to apply and undertake fellowships at reputed national institutes through the Indian Academies by facilitating their joining the next semester at a later date.

Competitive exams preparation: Students appearing for competitive exams like GATE, CSIR-NET, etc., are mentored by experienced faculty.","To calculate the Semester Grade Point Average (SGPA) for a particular semester, you need to follow these steps:

1. Determine the credit (Ci) assigned to each of the 'n' courses that the student has registered for.
2. Determine the grade point (Pi) secured in each of the 'n' courses.
3. Calculate the sum of the products of the credit and grade point for all 'n' courses, i.e., ΣCiPi
4. Calculate the sum of the credits of all 'n' courses, i.e., ΣCi
5. The SGPA is then calculated as the ratio of the sum of the products of credit and grade points (ΣCiPi) to the sum of the credits (ΣCi).

Mathematically, it is represented as: SGPA = ΣCiPi / ΣCi

This calculation gives you the Semester Grade Point Average (SGPA) for a particular semester.",0.95489943,"To calculate SGPA, you need to multiply the credit assigned to each course by the grade point secured in that course, sum them up, and divide by the total credits. CGPA is calculated by summing up the SGPA of each semester multiplied by the credits of that semester and dividing by the total credits. Students with CGPA ≥ 7.5 can enroll in additional courses in their discipline.",0.91306823,-0.041831195079498285
what is the contact details of registrar?,"S.No School / Office E.Mail Phone 1 Chancellor's Office This email address is being protected from spambots. You need JavaScript enabled to view it. 04362/350002 2 VC's Office This email address is being protected from spambots. You need JavaScript enabled to view it. 04362/350003 3 Registrar Office This email address is being protected from spambots. You need JavaScript enabled to view it. 04362/350004 4 Vice - Chancellor This email address is being protected from spambots. You need JavaScript enabled to view it. 04362/350003 5 Registrar This email address is being protected from spambots.Contact Details:
	
	
		
			
				Office of Admissions :
				
				SASTRA Deemed University

				Thanjavur  613 401

				General Admission Helpdesk: +91 4362 350011-15
				This email address is being protected from spambots. You need JavaScript enabled to view it.

				NRI Admissions: +91 4362 350016
				This email address is being protected from spambots. You need JavaScript enabled to view it.

				 

				SASTRA Deemed University

				Kumbakonam  612 001

				General Admission Helpdesk: +91 435 2426823Kumbakonam  612 001

				General Admission Helpdesk: +91 435 2426823

				This email address is being protected from spambots. You need JavaScript enabled to view it.

				 

				SASTRA Deemed University

				Chennai 600 083

				General Admission Helpdesk: +91 44 23650027

				This email address is being protected from spambots. You need JavaScript enabled to view it.

				 

				URL: www.sastra.edu
				
			
		
	

	We wish you good luck for your Class XII and other competitive exams.Contact

SASTRA DEEMED UNIVERSITY

Tirumalaisamudram

Thanjavur - 613401

Tamilnadu, India

+91 4362 264101 - 108

+91 4362 350001 (20 lines)

+91 4362 264120

admissionssastra.edu

Visit

Quick Links

National Scholarship Portal

Academic Bank of Credits (ABC) Registration

DigiLocker

UGC-DEB

NCTE

NIRF

NAAC

Headlines Archives

Events Archives

ShanMail

Student Mail

Contact

Useful-Links

ITIHAS (University Newsletter)

NPTEL

ILLUMINATI

Student Web Interface

Parent Web Interface

UGC Job Portal

Alumni Network Portal

Guest House Request

Video Tour

Campus Map

Press Release","The contact details for the Registrar's Office at SASTRA Deemed University are as follows:

Phone: 04362/350004
Email: `This email address is being protected from spambots. You need JavaScript enabled to view it.`",0.23569942,The contact details for the Registrar's Office are as follows: email address This email address is being protected from spambots. You need JavaScript enabled to view it. and phone number 04362/350004. The Registrar's Office can be reached for any inquiries or assistance related to admissions or other academic matters.,0.6836461,0.4479466628781128
